Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,26536000,15842699,59.7,103.1,260644,98.4,14109282,11602258,17733443,73.2,111.9,16324753,15632245,15535976,346727.0,345362.0,341664.0,16941171,106.9,16490261,4.5,12586032,79.4,55.4,198874,97.6,72.7,0.1,0.0,0,0.0,0,1.5,91.1,7.3,130064,6.8,13.3,22.7,4.9,1.1,2.4,0.2,48.7
A & N Islands,6000,3815,63.5,98.5,60,98.5,3748,3374,3533,88.4,92.6,3435,3471,3436,,,,4073,106.8,4264,-15.3,4189,109.8,75.0,70,92.1,61.4,0.0,0.0,0,0.0,0,0.9,82.8,16.4,73,18.6,12.9,15.7,4.3,0.0,1.4,0.0,47.1
Andhra Pradesh Old,1500000,1090431,72.6,116.0,14946,98.6,1007037,894844,1104837,82.1,101.3,1086089,1081924,1084135,0.0,0.0,0.0,1071132,98.2,1098722,3.1,478474,43.9,28.8,3117,98.0,81.1,0.2,0.1,0,0.0,0,2.7,90.5,6.4,8926,4.9,8.9,23.5,2.3,0.2,1.2,0.0,58.9
Arunachal Pradesh,27000,11141,41.2,98.6,164,98.5,10750,8546,15437,76.7,138.6,14521,13624,12573,0.0,0.0,0.0,12596,113.1,12424,18.4,8753,78.6,25.2,23,90.1,57.5,0.1,0.1,0,0.1,0,1.2,88.2,10.3,28,0.0,0.0,0.0,20.0,20.0,4.0,0.0,56.0
Assam,715000,421932,59.0,96.1,10562,97.6,387466,159772,496503,37.9,117.7,471657,462524,444471,0.0,0.0,0.0,459085,108.8,447703,7.5,467310,110.8,44.2,1889,95.0,90.5,0.0,0.0,0,0.0,0,2.5,94.9,2.5,3960,4.2,14.0,15.5,6.3,1.2,4.6,0.5,53.7
Bihar,2940000,1455325,49.5,99.9,26407,98.2,1276471,1235691,1859806,84.9,127.8,1813705,1717131,1629805,,,,1677752,115.3,1629498,9.8,1092459,75.1,13.5,8973,95.4,77.9,0.4,0.1,0,0.1,0,3.9,92.1,3.3,3021,11.9,12.3,12.3,6.3,7.2,10.2,5.1,34.7
Chandigarh,17000,18417,108.3,98.9,599,96.9,17931,17753,18474,96.4,100.3,13534,12140,11879,,,,12654,68.7,12473,31.5,12113,65.8,48.9,0,94.5,0.0,0.0,0.0,0,0.0,0,0.2,99.1,0.7,1239,24.3,6.4,4.4,4.9,0.1,0.1,0.0,59.8
Chhattisgarh,638000,358683,56.2,99.6,8414,97.7,340535,271719,372012,75.8,103.7,379350,375054,373964,0.0,0.0,0.0,379444,105.8,378002,-2.0,365517,101.9,80.5,12133,94.2,83.9,0.0,0.1,0,0.0,0,1.6,75.9,22.4,3039,3.7,7.2,28.6,12.3,0.7,3.0,0.0,44.6
Dadra & Nagar Haveli,9000,5403,60.0,100.1,75,98.6,4251,3082,5323,57.0,98.5,5053,5139,5297,,,,5260,97.4,5245,1.2,4468,82.7,11.1,1,92.9,68.4,0.0,0.0,0,0.0,0,1.6,69.9,28.5,135,14.0,3.9,41.1,13.2,0.0,0.8,0.0,27.1
Daman & Diu,5000,2134,42.6,75.6,7,99.7,1625,2742,2413,128.5,113.1,2382,2299,2286,,,,2579,120.9,2567,-6.9,2594,121.6,51.8,0,99.8,82.2,0.0,0.0,0,0.0,0,0.0,99.7,0.3,30,4.8,0.0,28.6,0.0,0.0,4.8,0.0,61.9
