Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Total Reported Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,% Infants 0 to 11 months old who received Measles vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles,Vitamin - A dose 1,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,% Diptheria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Pertusis in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Neonatorum in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Tetanus Others in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Polio in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Measles in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Diarrhoea and dehydration in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,% Malaria in Children 0-5 Years of Age to Total Reported Childhood Diseases 0-5 Years,Total Number of Infant Deaths reported,% Deaths due to Sepsis to Total Reported Infant Deaths,% Deaths due to Asphyxia to Total Reported Infant Deaths,% Deaths due to LBW to Total Reported Infant Deaths,% Deaths due to Pneumonia to Total Reported Infant Deaths,% Deaths due to Diarrhoea to Total Reported Infant Deaths,% Deaths due to Fever to Total Reported Infant Deaths,% Deaths due to Measles to Total Reported Infant Deaths,% Deaths due to Other Causes to Total Reported Infant Deaths
All India,27301000,15664863,57.3,99.7,223321,98.6,13279430,18130436,84.8,115.7,243851,356588,600815,17475771.0,16773220.0,16432116.0,17833800,113.8,17619287,1.6,15152684,96.7,65.7,220717,97.8,78.0,0.1,0.0,0,0.0,0,1.0,93.8,5.1,110929,8.6,12.4,19.7,6.0,0.5,2.0,0.1,50.6
A & N Islands,6000,3341,55.6,104.9,83,97.6,2969,3162,88.9,94.6,2724,2623,2719,,,,3783,113.2,3726,-19.6,3706,110.9,147.1,14,94.3,46.7,0.0,0.0,0,0.0,0,2.3,67.1,30.6,11,9.1,0.0,18.2,9.1,0.0,0.0,0.0,63.6
Andhra Pradesh,880000,578420,65.7,101.5,5217,99.1,544919,607416,94.2,105.0,17041,14741,14749,566458.0,558715.0,563915.0,597933,103.4,589041,1.6,589014,101.8,86.5,3141,99.2,84.9,0.2,0.0,0,0.0,0,1.1,93.2,5.5,2607,3.5,17.7,22.0,4.3,0.1,0.8,0.0,51.6
Arunachal Pradesh,28000,13054,46.6,100.6,211,98.4,10699,14851,82.0,113.8,1126,1588,1317,14591.0,13309.0,12495.0,13478,103.2,13543,9.2,7863,60.2,21.2,59,93.7,62.7,0.1,0.0,0,0.0,0,3.1,91.6,5.2,58,0.0,6.7,4.4,8.9,2.2,4.4,0.0,73.3
Assam,747000,455984,61.0,98.4,10051,97.8,239634,519052,52.6,113.8,3699,2608,2225,487433.0,484033.0,476440.0,495601,108.7,491263,4.5,488849,107.2,44.7,3249,98.0,95.4,0.0,0.0,0,0.0,0,2.3,97.0,0.7,4391,8.2,18.4,13.8,7.7,0.3,3.5,0.0,48.0
Bihar,2886000,1548404,53.6,97.7,20218,98.7,1389691,2079830,89.7,134.3,1605,1620,39543,2021742.0,1965854.0,1944993.0,2127609,137.4,2099216,-2.3,1114517,72.0,22.1,15388,98.3,85.9,0.0,0.0,0,0.0,0,0.5,98.2,1.3,5177,2.4,10.7,17.8,5.6,1.3,2.6,0.0,59.5
Chandigarh,19000,21931,115.4,98.6,709,96.9,20503,21279,93.5,97.0,107,144,206,12779.0,11561.0,10900.0,12437,56.7,12332,41.6,12450,56.8,82.5,23,97.0,22.0,0.0,0.0,0,0.0,0,0.7,99.0,0.3,645,17.7,5.1,1.1,1.6,0.0,0.2,0.0,74.3
Chhattisgarh,642000,345650,53.8,98.5,8031,97.7,311965,412391,90.3,119.3,1578,1308,1543,387762.0,379430.0,383164.0,405500,117.3,403983,1.7,387654,112.2,87.7,2934,97.8,90.8,0.0,0.0,0,0.0,0,0.3,83.5,16.2,3692,3.4,8.0,26.4,10.1,0.4,1.4,0.0,50.2
Dadra & Nagar Haveli,11000,6666,60.6,98.8,184,97.3,6444,6854,96.7,102.8,2,3,4,5735.0,5509.0,5568.0,6220,93.3,6057,9.3,4621,69.3,20.6,522,98.3,87.5,0.0,0.0,0,0.1,0,0.6,96.5,2.8,125,7.5,7.5,41.1,5.6,0.0,0.9,0.0,37.4
Daman & Diu,5000,2791,55.8,99.6,27,99.0,2821,2818,101.1,101.0,13,12,26,2735.0,2667.0,2582.0,2943,105.4,2939,-4.4,2708,97.0,52.6,64,100.0,95.2,0.0,0.0,0,0.0,0,0.1,99.8,0.1,30,4.0,16.0,36.0,0.0,4.0,4.0,0.0,36.0
