Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,% Newborns weighed at birth to live birth,Number of Newborns having weight less than 2.5 kg,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,% Newborns breast fed within 1 hour of birth to Total live birth,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given Hep- B0 (birth dose),% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,Number of Infants given MR,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Abcess ),Adverse Events Following Imunisation (Deaths),Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,Pneumonia in Children 0-5 Years of Age,Asthma in Children 0-5 Years of Age,Sepsis in Children 0-5 Years of Age,Diphtheria in Children 0-5 Years of Age,Pertussis in Children 0-5 Years of Age,Tetanus Neonatorum in Children 0-5 Years of Age,Tuberculosis (TB) in Children 0-5 Years of Age,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,Measles in Children 0-5 Years of Age,Malaria in Children 0-5 Years of Age,Diarrhoea in Children 0-5 Years of Age,Diarrhoea treated in Inpatients in Children 0-5 Years of Age,No. of infants given Measles Rubella vaccine 1st dose,No. of infants received Rotavirus Vaccine 1st dose,No. of infants received Rotavirus Vaccine 2nd dose,No. of infants received Rotavirus Vaccine 3nd dose,No of children 16-24 months age given Measles 2nd dose,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose
All India,27317000,15884104,58.1,100.0,214367,98.7,15144918,95.3,1812109,12.0,14164501,89.2,929,13601613,17999258,10820336,85.6,113.3,68.1,116138,78303,88655,17604708,16884504,16676961,15929567,1784491,111.5,17409552,11.5,95.3,75.0,18556,188,188,98.3,82.3,343483,110048,48231,5619,581,764,15878,15878,24442,343483,2814928,404893,1784491,3724438,3301212,3301212,12953683,1675216
A & N Islands,5000,3261,65.2,107.8,48,98.5,3113,95.5,512,16.4,2498,76.6,876,2538,2736,2068,77.8,83.9,63.4,117,121,158,3203,3153,3146,3018,89,95.3,3017,-10.3,107.5,114.8,1,0,0,95.5,60.1,91,11,0,0,0,0,59,59,7,91,1088,292,89,5,1,1,3546,92
Andhra Pradesh,879000,571280,64.9,100.2,5345,99.1,560311,98.1,31911,5.7,548132,95.9,959,538878,601066,491396,94.3,105.2,86.0,5067,4515,4844,595488,581305,595870,379075,240155,108.4,605826,36.9,73.6,55.5,208,2,2,99.4,88.7,6285,5329,1896,0,9,1,587,587,279,6285,44539,8429,240155,557686,529534,529534,261375,187353
Arunachal Pradesh,28000,14209,50.7,99.3,169,98.8,13688,96.3,866,6.3,12457,87.7,946,12908,16355,10564,90.8,115.1,74.3,349,207,168,15783,14668,14043,14327,115,101.6,14287,12.4,72.8,26.0,1,0,0,96.5,74.8,1228,65,85,31,3,2,98,98,221,1228,9677,919,115,2,0,0,13600,107
Assam,742000,441967,59.5,98.1,9669,97.9,436344,98.7,63901,14.6,430391,97.4,939,255488,482245,220776,57.8,109.1,50.0,362,235,297,445008,429951,422181,467701,466,105.9,466392,3.0,104.6,52.7,172,3,3,97.7,95.8,5722,1951,1209,0,0,2,644,644,1094,5722,82484,7460,466,316669,242613,242613,378406,1556
Bihar,2963000,1596055,53.8,98.3,20075,98.8,1528451,95.8,145423,9.5,1524970,95.5,911,1430383,2047391,1187946,89.6,128.3,74.4,1394,760,778,1935239,1845253,1790960,2002324,53,125.5,1984331,2.2,58.3,4.9,2285,72,72,96.3,88.1,5196,2631,662,112,81,21,775,775,415,5196,73595,10047,53,30,2,2,1684707,73
Chandigarh,19000,22101,116.3,98.7,553,97.6,22157,100.3,4494,20.3,18050,81.7,900,20972,21178,19308,94.9,95.8,87.4,24,42,43,11495,10715,10381,4912,7139,54.5,12247,76.8,27.3,76.9,10,1,1,97.0,19.5,3267,2071,147,20,9,1,33,33,33,3267,11867,2500,7139,135,257,257,4246,5157
Chhattisgarh,644000,371275,57.6,98.7,7334,98.1,368895,99.4,37625,10.2,362502,97.6,956,323154,413819,220755,87.0,111.5,59.5,1130,547,882,387363,376534,373694,383657,284,103.4,382188,7.3,99.6,111.9,362,0,0,98.6,94.3,16203,326,259,76,1,3,553,553,210,16203,95871,8763,284,463,202,202,349914,79
Dadra & Nagar Haveli,9000,7004,77.8,99.7,131,98.2,6721,96.0,2462,36.6,6449,92.1,927,7208,7424,7054,102.9,106.0,100.7,2,3,3,5571,5440,5422,4169,2100,89.5,6264,43.8,69.1,39.2,3,0,0,98.6,87.9,172,21,36,0,0,0,10,10,15,172,2367,639,2100,0,0,0,2490,2373
Daman & Diu,5000,2741,54.8,99.3,16,99.4,2177,79.4,350,16.1,1683,61.4,881,2896,2834,2395,105.7,103.4,87.4,26,19,7,2749,2675,2577,1429,1442,104.7,2960,49.6,95.1,103.4,6,0,0,96.1,97.3,39,39,43,0,0,0,0,0,244,39,2879,427,1442,0,0,0,1317,1191
