Estimated Number of Annual Live Births ##,Total Number of reported live births,% Live Births to Estimated Annual Live Births,% Live Births to Total Deliveries,Total Number of reported Still Births,% live birth to Reported Birth,Number of Newborns weighed at birth,% Newborns weighed at birth to live birth,Number of Newborns having weight less than 2.5 kg,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,Number of New Borns Breast Fed within 1 hour,% Newborns breast fed within 1 hour of birth to Total live birth,Sex Ratio at birth ( Female Live Births/ Male Live Births *1000),Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given Hep- B0 (birth dose),% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Pentavalent 1,Number of Infants given Pentavalent 2,Number of Infants given Pentavalent 3,Number of Infants given Measles,Number of Infants given MR,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,Number of fully immunized children (9-11 months),% Drop Out between BCG & Measles/ MR,% Children given Vit A dose1 to Reported live birth,% Children given Vitamin A Dose 9 to Children given Vit A dose1,Adverse Events Following Imunisation (Abcess ),Adverse Events Following Imunisation (Deaths),Adverse Events Following Imunisation (Others),% immunisation Sessions Held to Immunisation Sessions Planned,% Immunisation Sessions where ASHAs were present to Immunisation Sessions Planned,Pneumonia in Children 0-5 Years of Age,Asthma in Children 0-5 Years of Age,Unnamed: 40,Sepsis in Children 0-5 Years of Age,Diphtheria in Children 0-5 Years of Age,Pertussis in Children 0-5 Years of Age,Tetanus Neonatorum in Children 0-5 Years of Age,Tuberculosis (TB) in Children 0-5 Years of Age,Acute Flaccid Paralysis(AFP)in Children 0-5 Years of Age,Measles in Children 0-5 Years of Age,Malaria in Children 0-5 Years of Age,Diarrhoea in Children 0-5 Years of Age,Diarrhoea treated in Inpatients in Children 0-5 Years of Age,No. of infants given Measles Rubella vaccine 1st dose,No. of infants received Rotavirus Vaccine 1st dose,No. of infants received Rotavirus Vaccine 2nd dose,No. of infants received Rotavirus Vaccine 3nd dose,No of children 16-24 months age given Measles 2nd dose,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose
All India,27208000,15217333,55.9,99.5,209450,98.6,14523241,95.4,1884929,13.0,13584406,89.3,930,13320507,17610495,10940479,87.5,115.7,71.9,85544,51936,54028,17234503,16560945,16465476,8987740,7567039,108.8,16176657,49.0,86.8,68.4,17505,279,279,97.6,83.1,422249,153706,110048,60557,4381,1444,279,18826,18826,22674,422249,2915508,459481,7567039,6484493,5648277,5648277,7453008,5573451
A & N Islands,5000,2982,59.6,104.4,55,98.2,2989,100.2,486,16.3,2517,84.4,943,2215,2523,2040,74.3,84.6,68.4,92,55,73,3056,3004,3013,497,2813,111.0,2951,80.3,99.9,122.4,14,0,0,97.5,59.4,53,67,11,0,0,0,0,16,16,1,53,1050,166,2813,37,6,6,445,2873
Andhra Pradesh,864000,556636,64.4,100.1,5863,99.0,541082,97.2,29941,5.5,527694,94.8,956,551990,631000,481956,99.2,113.4,86.6,4094,3262,3140,625668,611675,627757,30291,636541,119.8,632372,95.2,71.3,74.2,174,25,25,99.6,90.0,8223,6493,5329,4787,107,0,3,482,482,34,8223,39194,9521,636541,617562,593108,593108,37739,556836
Arunachal Pradesh,28000,13754,49.1,99.2,195,98.6,13262,96.4,957,7.2,11695,85.0,913,10995,15366,8941,79.9,111.7,65.0,178,181,188,15865,15231,14907,1252,14300,113.1,15011,91.9,101.0,28.2,3,2,2,97.4,75.3,618,53,65,60,6,0,0,43,43,35,618,6412,712,14300,15,13,13,1326,10614
Assam,739000,430237,58.2,98.6,9042,97.9,423708,98.5,61862,14.6,417291,97.0,933,211464,433552,221591,49.2,100.8,51.5,411,232,181,420910,415318,414156,30264,404170,101.0,428755,93.0,99.8,60.8,258,3,3,97.5,99.4,6858,2886,1951,1269,94,40,1,405,405,1147,6858,64193,8124,404170,387120,381263,381263,38405,318789
Bihar,3051000,1559869,51.1,98.1,18859,98.8,1510402,96.8,151415,10.0,1504294,96.4,911,1408492,2016888,1196229,90.3,129.3,76.7,838,371,315,1928352,1902674,1879987,1697127,237960,124.1,1912481,15.9,20.9,4.7,3101,26,26,95.8,86.5,5883,932,2631,471,111,58,9,1261,1261,256,5883,63254,12480,237960,567,250,250,1485685,171015
Chandigarh,20000,22297,111.4,100.2,485,97.9,22165,99.4,5300,23.9,16116,72.3,915,21019,21201,19451,94.3,95.1,87.2,58,83,53,14164,13188,13661,32,14627,65.7,14601,99.8,66.4,80.2,1,3,3,96.9,23.9,3481,1465,2071,174,15,59,7,33,33,62,3481,12983,2287,14627,0,0,0,5,13158
Chhattisgarh,640000,363314,56.7,98.6,7391,98.0,361458,99.5,36108,10.0,356034,98.0,956,317518,402809,230413,87.4,110.9,63.4,2289,1442,1331,379251,370287,366286,118155,217618,92.4,328527,70.7,90.8,111.3,451,1,1,96.3,91.1,14589,384,326,385,81,0,1,309,309,135,14589,80047,8371,217618,544,272,272,118204,150936
Dadra & Nagar Haveli,11000,6855,62.3,99.6,121,98.3,6636,96.8,2346,35.4,5875,85.7,935,6798,6667,5749,99.2,97.3,83.9,0,2,0,5561,5410,5518,0,6425,93.7,6421,100.0,88.5,52.3,33,0,0,99.6,88.8,17,12,21,3,0,0,0,4,4,13,17,2504,786,6425,0,0,0,17,5532
Daman & Diu,8000,3025,37.8,100.1,13,99.6,2648,87.5,695,26.2,1965,65.0,877,3274,3616,2383,108.2,119.5,78.8,47,26,23,3355,3380,3410,29,3867,128.8,3900,99.2,127.0,70.1,2,0,0,99.8,92.8,37,61,39,13,2,0,1,2,2,0,37,1722,496,3867,0,0,0,14,2986
